ID,Station,Network,Latitude,Longitude,Elevation,Depth,Avg_Depth,Beginning_Year,Ending_Year,Missing_Years,Percentage_Missing_Values,Number_of_Full_Years
28,BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-5_sm_0.200000_0.200000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.63086,22.98197,110.7,0.2-0.2,0.2,2015,2018,NA,0,4
29,BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-5_sm_0.500000_0.500000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.63086,22.98197,110.7,0.5-0.5,0.5,2015,2018,NA,0,4
30,BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-6_sm_0.050000_0.050000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.63489,22.9793,112.2,0.05-0.05,0.05,2015,2018,NA,0,4
31,BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-6_sm_0.100000_0.100000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.63489,22.9793,112.2,0.1-0.1,0.1,2015,2018,NA,0,4
32,BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-6_sm_0.200000_0.200000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.63489,22.9793,112.2,0.2-0.2,0.2,2015,2018,NA,0,4
33,BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-6_sm_0.500000_0.500000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.63489,22.9793,112.2,0.5-0.5,0.5,2015,2018,NA,0,4
34,BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-7_sm_0.050000_0.050000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.63384,22.97952,112.2,0.05-0.05,0.05,2015,2018,NA,0,4
35,BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-7_sm_0.100000_0.100000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.63384,22.97952,112.2,0.1-0.1,0.1,2015,2018,NA,0,4
36,BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-7_sm_0.200000_0.200000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.63384,22.97952,112.2,0.2-0.2,0.2,2015,2018,NA,0,4
37,BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-7_sm_0.500000_0.500000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.63384,22.97952,112.2,0.5-0.5,0.5,2015,2018,NA,0,4
38,BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-8_sm_0.050000_0.050000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.6328,22.97976,112.2,0.05-0.05,0.05,2015,2018,NA,0,4
39,BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-8_sm_0.100000_0.100000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.6328,22.97976,112.2,0.1-0.1,0.1,2015,2018,NA,0,4
40,BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-8_sm_0.200000_0.200000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.6328,22.97976,112.2,0.2-0.2,0.2,2015,2017,NA,0,3
41,BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-8_sm_0.500000_0.500000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.6328,22.97976,112.2,0.5-0.5,0.5,2015,2018,NA,0,4
42,BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-9_sm_0.050000_0.050000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.63176,22.98,112.2,0.05-0.05,0.05,2015,2018,NA,0,4
43,BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-9_sm_0.100000_0.100000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.63176,22.98,112.2,0.1-0.1,0.1,2015,2018,NA,0,4
