"ID","Name","Station","Latitude","Longitude","Elevation","Depth","Avg_Depth","Beginning_Year","Ending_Year","Missing_Years","Percentage_Missing_Values","Number_of_Full_Years","Filename","Land_Cover"
103,"Torano","CALABRIA",39.5,16.211,97,"0.3-0.3",0.3,2001,2012,NA,0,12,"/home/xosto002/Beachelor_thesis/CALABRIA/Torano/CALABRIA_CALABRIA_Torano_sm_0.300000_0.300000_ThetaProbe-ML2X_19500101_20241016.stm","Cropland, rainfed"
104,"Torano","CALABRIA",39.5,16.211,97,"0.6-0.6",0.6,2001,2012,NA,0,12,"/home/xosto002/Beachelor_thesis/CALABRIA/Torano/CALABRIA_CALABRIA_Torano_sm_0.600000_0.600000_ThetaProbe-ML2X_19500101_20241016.stm","Cropland, rainfed"
105,"Torano","CALABRIA",39.5,16.211,97,"0.9-0.9",0.9,2001,2012,NA,0,12,"/home/xosto002/Beachelor_thesis/CALABRIA/Torano/CALABRIA_CALABRIA_Torano_sm_0.900000_0.900000_ThetaProbe-ML2X_19500101_20241016.stm","Cropland, rainfed"
106,"Bagnoli","CAMPANIA",40.828,15.073,745,"0.3-0.3",0.3,2000,2012,2009,7.69230769230769,12,"/home/xosto002/Beachelor_thesis/CAMPANIA/Bagnoli/CAMPANIA_CAMPANIA_Bagnoli_sm_0.300000_0.300000_ThetaProbe-ML2X_19500101_20241016.stm","Urban areas"
107,"Melizzano","CAMPANIA",41.169,14.5,206,"0.3-0.3",0.3,2000,2012,2009,7.69230769230769,12,"/home/xosto002/Beachelor_thesis/CAMPANIA/Melizzano/CAMPANIA_CAMPANIA_Melizzano_sm_0.300000_0.300000_ThetaProbe-ML2X_19500101_20241016.stm","Cropland, rainfed"
108,"AliceHolt","COSMOS-UK",51.15355,-0.85823,80,"0-0.3",0.15,2015,2022,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/AliceHolt/COSMOS-UK_COSMOS-UK_AliceHolt_sm_0.000000_0.300000_Cosmic-ray-Probe_19500101_20241016.stm","Broadleaf woodland (empirically determined)"
109,"AliceHolt","COSMOS-UK",51.15355,-0.85823,80,"0.1-0.1",0.1,2015,2023,NA,0,9,"/home/xosto002/Beachelor_thesis/COSMOS-UK/AliceHolt/COSMOS-UK_COSMOS-UK_AliceHolt_sm_0.100000_0.100000_TDT-A_19500101_20241016.stm","Broadleaf woodland (empirically determined)"
110,"AliceHolt","COSMOS-UK",51.15355,-0.85823,80,"0.1-0.1",0.1,2015,2023,NA,0,9,"/home/xosto002/Beachelor_thesis/COSMOS-UK/AliceHolt/COSMOS-UK_COSMOS-UK_AliceHolt_sm_0.100000_0.100000_TDT-B_19500101_20241016.stm","Broadleaf woodland (empirically determined)"
114,"BickleyHall","COSMOS-UK",53.02635,-2.70053,78,"0-0.3",0.15,2015,2022,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/BickleyHall/COSMOS-UK_COSMOS-UK_BickleyHall_sm_0.000000_0.300000_Cosmic-ray-Probe_19500101_20241016.stm","Grassland (empirically determined)"
115,"BickleyHall","COSMOS-UK",53.02635,-2.70053,78,"0.1-0.1",0.1,2015,2023,NA,0,9,"/home/xosto002/Beachelor_thesis/COSMOS-UK/BickleyHall/COSMOS-UK_COSMOS-UK_BickleyHall_sm_0.100000_0.100000_TDT-A_19500101_20241016.stm","Grassland (empirically determined)"
116,"BickleyHall","COSMOS-UK",53.02635,-2.70053,78,"0.1-0.1",0.1,2015,2023,NA,0,9,"/home/xosto002/Beachelor_thesis/COSMOS-UK/BickleyHall/COSMOS-UK_COSMOS-UK_BickleyHall_sm_0.100000_0.100000_TDT-B_19500101_20241016.stm","Grassland (empirically determined)"
117,"BunnyPark","COSMOS-UK",52.86073,-1.12685,39,"0-0.3",0.15,2015,2022,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/BunnyPark/COSMOS-UK_COSMOS-UK_BunnyPark_sm_0.000000_0.300000_Cosmic-ray-Probe_19500101_20241016.stm","Arable and horticulture (empirically determined)"
118,"BunnyPark","COSMOS-UK",52.86073,-1.12685,39,"0.1-0.1",0.1,2015,2023,NA,0,9,"/home/xosto002/Beachelor_thesis/COSMOS-UK/BunnyPark/COSMOS-UK_COSMOS-UK_BunnyPark_sm_0.100000_0.100000_TDT-A_19500101_20241016.stm","Arable and horticulture (empirically determined)"
119,"BunnyPark","COSMOS-UK",52.86073,-1.12685,39,"0.1-0.1",0.1,2015,2023,NA,0,9,"/home/xosto002/Beachelor_thesis/COSMOS-UK/BunnyPark/COSMOS-UK_COSMOS-UK_BunnyPark_sm_0.100000_0.100000_TDT-B_19500101_20241016.stm","Arable and horticulture (empirically determined)"
120,"Cardington","COSMOS-UK",52.1056,-0.42464,29,"0-0.3",0.15,2015,2022,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Cardington/COSMOS-UK_COSMOS-UK_Cardington_sm_0.000000_0.300000_Cosmic-ray-Probe_19500101_20241016.stm","Improved grassland (empirically determined)"
121,"Cardington","COSMOS-UK",52.1056,-0.42464,29,"0.1-0.1",0.1,2015,2023,NA,0,9,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Cardington/COSMOS-UK_COSMOS-UK_Cardington_sm_0.100000_0.100000_TDT-A_19500101_20241016.stm","Improved grassland (empirically determined)"
122,"Cardington","COSMOS-UK",52.1056,-0.42464,29,"0.1-0.1",0.1,2015,2023,NA,0,9,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Cardington/COSMOS-UK_COSMOS-UK_Cardington_sm_0.100000_0.100000_TDT-B_19500101_20241016.stm","Improved grassland (empirically determined)"
123,"ChimneyMeadows","COSMOS-UK",51.70802,-1.47877,65,"0-0.3",0.15,2013,2022,NA,0,10,"/home/xosto002/Beachelor_thesis/COSMOS-UK/ChimneyMeadows/COSMOS-UK_COSMOS-UK_ChimneyMeadows_sm_0.000000_0.300000_Cosmic-ray-Probe_19500101_20241016.stm","Improved grassland (empirically determined)"
126,"ChimneyMeadows","COSMOS-UK",51.70802,-1.47877,65,"0.1-0.1",0.1,2013,2023,NA,0,11,"/home/xosto002/Beachelor_thesis/COSMOS-UK/ChimneyMeadows/COSMOS-UK_COSMOS-UK_ChimneyMeadows_sm_0.100000_0.100000_TDT-A_19500101_20241016.stm","Improved grassland (empirically determined)"
127,"ChimneyMeadows","COSMOS-UK",51.70802,-1.47877,65,"0.1-0.1",0.1,2013,2023,NA,0,11,"/home/xosto002/Beachelor_thesis/COSMOS-UK/ChimneyMeadows/COSMOS-UK_COSMOS-UK_ChimneyMeadows_sm_0.100000_0.100000_TDT-B_19500101_20241016.stm","Improved grassland (empirically determined)"
134,"ChobhamCommon","COSMOS-UK",51.36795,-0.59748,47,"0-0.3",0.15,2015,2022,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/ChobhamCommon/COSMOS-UK_COSMOS-UK_ChobhamCommon_sm_0.000000_0.300000_Cosmic-ray-Probe_19500101_20241016.stm","Heather grassland (empirically determined)"
135,"ChobhamCommon","COSMOS-UK",51.36795,-0.59748,47,"0.1-0.1",0.1,2015,2023,NA,0,9,"/home/xosto002/Beachelor_thesis/COSMOS-UK/ChobhamCommon/COSMOS-UK_COSMOS-UK_ChobhamCommon_sm_0.100000_0.100000_TDT-A_19500101_20241016.stm","Heather grassland (empirically determined)"
136,"ChobhamCommon","COSMOS-UK",51.36795,-0.59748,47,"0.1-0.1",0.1,2015,2022,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/ChobhamCommon/COSMOS-UK_COSMOS-UK_ChobhamCommon_sm_0.100000_0.100000_TDT-B_19500101_20241016.stm","Heather grassland (empirically determined)"
