ID,Name,Station,Latitude,Longitude,Elevation,Depth,Avg_Depth,Beginning_Year,Ending_Year,Missing_Years,Percentage_Missing_Values,Number_of_Full_Years,Filename
1347,LezignanCorbieres,SMOSMANIA,43.1733,2.7283,60,0.1-0.1,0.1,2007,2024,NA,0,18,/home/xosto002/Beachelor_thesis/SMOSMANIA/LaGrandCombe/SMOSMANIA_SMOSMANIA_LaGrandCombe_sm_0.300000_0.300000_ThetaProbe-ML3_19500101_20241016.stm
1348,LezignanCorbieres,SMOSMANIA,43.1733,2.7283,60,0.2-0.2,0.2,2007,2024,NA,0,18,/home/xosto002/Beachelor_thesis/SMOSMANIA/Lahas/SMOSMANIA_SMOSMANIA_Lahas_sm_0.050000_0.050000_ThetaProbe-ML2X_19500101_20241016.stm
1349,LezignanCorbieres,SMOSMANIA,43.1733,2.7283,60,0.3-0.3,0.3,2007,2024,NA,0,18,/home/xosto002/Beachelor_thesis/SMOSMANIA/Lahas/SMOSMANIA_SMOSMANIA_Lahas_sm_0.100000_0.100000_ThetaProbe-ML2X_19500101_20241016.stm
1350,Mazan-Abbaye,SMOSMANIA,44.73383,4.08383,1240,0.05-0.05,0.05,2008,2024,NA,0,17,/home/xosto002/Beachelor_thesis/SMOSMANIA/Lahas/SMOSMANIA_SMOSMANIA_Lahas_sm_0.100000_0.100000_ThetaProbe-ML3_19500101_20241016.stm
1351,Mazan-Abbaye,SMOSMANIA,44.73383,4.08383,1240,0.1-0.1,0.1,2008,2024,NA,0,17,/home/xosto002/Beachelor_thesis/SMOSMANIA/Lahas/SMOSMANIA_SMOSMANIA_Lahas_sm_0.200000_0.200000_ThetaProbe-ML2X_19500101_20241016.stm
1352,Mazan-Abbaye,SMOSMANIA,44.73383,4.08383,1240,0.2-0.2,0.2,2008,2024,NA,0,17,/home/xosto002/Beachelor_thesis/SMOSMANIA/Lahas/SMOSMANIA_SMOSMANIA_Lahas_sm_0.200000_0.200000_ThetaProbe-ML3_19500101_20241016.stm
1353,Mazan-Abbaye,SMOSMANIA,44.73383,4.08383,1240,0.3-0.3,0.3,2008,2024,NA,0,17,/home/xosto002/Beachelor_thesis/SMOSMANIA/Lahas/SMOSMANIA_SMOSMANIA_Lahas_sm_0.300000_0.300000_ThetaProbe-ML2X_19500101_20241016.stm
1354,Mejannes-le-Clap,SMOSMANIA,44.222,4.34483,318,0.05-0.05,0.05,2008,2018,NA,0,11,/home/xosto002/Beachelor_thesis/SMOSMANIA/LezignanCorbieres/SMOSMANIA_SMOSMANIA_LezignanCorbieres_sm_0.050000_0.050000_ThetaProbe-ML2X_19500101_20241016.stm
1356,Mejannes-le-Clap,SMOSMANIA,44.222,4.34483,318,0.1-0.1,0.1,2008,2018,NA,0,11,/home/xosto002/Beachelor_thesis/SMOSMANIA/LezignanCorbieres/SMOSMANIA_SMOSMANIA_LezignanCorbieres_sm_0.200000_0.200000_ThetaProbe-ML2X_19500101_20241016.stm
1358,Mejannes-le-Clap,SMOSMANIA,44.222,4.34483,318,0.2-0.2,0.2,2008,2018,NA,0,11,/home/xosto002/Beachelor_thesis/SMOSMANIA/Mazan-Abbaye/SMOSMANIA_SMOSMANIA_Mazan-Abbaye_sm_0.050000_0.050000_ThetaProbe-ML2X_19500101_20241016.stm
1360,Mejannes-le-Clap,SMOSMANIA,44.222,4.34483,318,0.3-0.3,0.3,2008,2018,NA,0,11,/home/xosto002/Beachelor_thesis/SMOSMANIA/Mazan-Abbaye/SMOSMANIA_SMOSMANIA_Mazan-Abbaye_sm_0.200000_0.200000_ThetaProbe-ML2X_19500101_20241016.stm
1362,Montaut,SMOSMANIA,43.1922,1.6436,295,0.05-0.05,0.05,2007,2017,NA,0,11,/home/xosto002/Beachelor_thesis/SMOSMANIA/Mejannes-le-Clap/SMOSMANIA_SMOSMANIA_Mejannes-le-Clap_sm_0.050000_0.050000_ThetaProbe-ML2X_19500101_20241016.stm
